_id,Year/Année,Name/Nom,Frequency/Fréquence
472,1918,BLANCH,6
473,1918,BLANCHE,58
474,1918,BRIDGET,10
475,1918,CARMEL,11
476,1918,CARMELA,8
477,1918,CARMEN,8
478,1918,CAROLINE,38
479,1918,CARRIE,21
480,1918,CATHARINE,52
481,1918,CATHERINE,174
482,1918,CECELIA,11
483,1918,CECIL,6
484,1918,CECILE,37
485,1918,CECILIA,23
486,1918,CELIA,12
487,1918,CELINA,6
488,1918,CHARLOTTE,45
489,1918,CHRISTENA,12
490,1918,CHRISTINA,38
491,1918,CHRISTINE,6
492,1918,CLAIRE,10
493,1918,CLARA,137
494,1918,CLARE,7
495,1918,CLARICE,10
496,1918,CONSTANCE,50
497,1918,CORA,34
498,1918,DAISY,54
499,1918,DELIA,11
500,1918,DELLA,18
501,1918,DELPHINE,6
502,1918,DOLLY,8
503,1918,DONALDA,11
504,1918,DONNA,18
505,1918,DORA,98
506,1918,DORAS,6
507,1918,DORATHY,9
508,1918,DOREEN,27
509,1918,DORIS,477
510,1918,DOROTHEA,21
511,1918,DOROTHY,1028
512,1918,DORRIS,8
513,1918,DORTHY,26
514,1918,EDITH,387
515,1918,EDNA,370
516,1918,EDYTH,6
517,1918,EDYTHE,15
518,1918,EFFIE,32
519,1918,EILEEN,109
520,1918,ELAINE,10
521,1918,ELDA,8
522,1918,ELEANOR,155
523,1918,ELEN,6
524,1918,ELENA,8
525,1918,ELENOR,13
526,1918,ELINOR,11
527,1918,ELISABETH,7
528,1918,ELIZA,15
529,1918,ELIZABETH,389
530,1918,ELLA,77
531,1918,ELLEN,129
532,1918,ELMA,20
533,1918,ELSA,9
534,1918,ELSIE,218
535,1918,ELVA,47
536,1918,EMILIA,8
537,1918,EMILY,71
538,1918,EMMA,81
539,1918,ENA,6
540,1918,ENID,15
541,1918,ERMA,36
542,1918,ESTELLA,15
543,1918,ESTELLE,6
544,1918,ESTER,18
545,1918,ESTHER,72
546,1918,ETHEL,266
547,1918,ETTA,21
548,1918,ETTIE,8
549,1918,EUNICE,33
550,1918,EUPHEMIA,6
551,1918,EVA,223
552,1918,EVALINE,10
553,1918,EVELIN,6
554,1918,EVELINE,20
555,1918,EVELYN,380
556,1918,EVELYNE,6
557,1918,FANNIE,8
558,1918,FANNY,22
559,1918,FAY,7
560,1918,FERN,25
561,1918,FERNANDE,6
562,1918,FLORA,45
563,1918,FLORANCE,12
564,1918,FLORENCE,522
565,1918,FLOSSIE,19
566,1918,FRANCES,265
567,1918,FRANCESCA,7
568,1918,FRANCIS,82
569,1918,FREDA,59
570,1918,GABRIELLE,6
571,1918,GENEVA,9
572,1918,GENEVIEVE,20
573,1918,GEORGENA,6
574,1918,GEORGIA,14
575,1918,GEORGINA,52
576,1918,GERALDINE,44
577,1918,GERMAINE,11
578,1918,GERTIE,9
579,1918,GERTRUDE,249
580,1918,GILBERTE,7
581,1918,GLADIS,7
582,1918,GLADYS,355
583,1918,GOLDIE,13
584,1918,GRACE,257
585,1918,GRACIE,9
586,1918,GRETA,25
587,1918,GWENDOLINE,16
588,1918,GWENDOLYN,32
589,1918,HANNAH,29
590,1918,HARRIET,32
591,1918,HARRIETT,10
592,1918,HATTIE,6
593,1918,HAZEL,279
594,1918,HELEN,924
595,1918,HELENA,44
596,1918,HELENE,12
597,1918,HELLEN,31
598,1918,HELVI,6
599,1918,HENRIETTA,14
600,1918,HESTER,7
601,1918,HILDA,152
602,1918,HOPE,7
603,1918,IDA,105
604,1918,ILA,27
605,1918,ILENE,18
606,1918,INA,28
607,1918,INEZ,26
608,1918,IOLA,8
609,1918,IRENE,293
610,1918,IRIS,32
611,1918,IRMA,30
612,1918,ISABEL,77
613,1918,ISABELL,30
614,1918,ISABELLA,51
615,1918,ISABELLE,34
616,1918,ISOBEL,24
617,1918,IVA,45
618,1918,IVY,58
619,1918,J,14
620,1918,JACQUELINE,8
621,1918,JAMES,7
622,1918,JANE,68
623,1918,JANET,50
624,1918,JANETTE,7
625,1918,JEAN,504
626,1918,JEANETTE,17
627,1918,JEANIE,7
628,1918,JEANNE,36
629,1918,JEANNETTE,19
630,1918,JENNIE,80
631,1918,JENNY,9
632,1918,JESSIE,162
633,1918,JEWEL,6
634,1918,JOAN,48
635,1918,JOSEPHINA,8
636,1918,JOSEPHINE,88
637,1918,JOY,8
638,1918,JOYCE,39
639,1918,JULIA,61
640,1918,JULIETTE,9
641,1918,JUNE,81
642,1918,KATHALEEN,18
643,1918,KATHARINE,18
644,1918,KATHELEEN,8
645,1918,KATHERINE,44
646,1918,KATHLEEN,341
647,1918,KATHRYN,17
648,1918,KATIE,19
649,1918,KEITHA,8
650,1918,LAURA,159
651,1918,LAURETTA,13
652,1918,LAURETTE,10
653,1918,LAURINE,7
654,1918,LAVINA,8
655,1918,LEAH,15
656,1918,LEILA,9
657,1918,LELA,10
658,1918,LENA,74
659,1918,LENORA,11
660,1918,LENORE,11
661,1918,LEOLA,17
662,1918,LEONA,46
663,1918,LEONE,9
664,1918,LETA,16
665,1918,LEVINA,6
666,1918,LILA,44
667,1918,LILIA,7
668,1918,LILIAN,60
669,1918,LILLIAN,281
670,1918,LILLIE,25
671,1918,LILLY,15
672,1918,LILY,44
673,1918,LINDA,9
674,1918,LIZZIE,11
675,1918,LOIS,91
676,1918,LOLA,12
677,1918,LORAINE,16
678,1918,LORETTA,37
679,1918,LORETTE,7
680,1918,LORNA,49
681,1918,LORRAINE,41
682,1918,LOTTIE,34
683,1918,LOUISA,28
684,1918,LOUISE,47
685,1918,LUCIA,8
686,1918,LUCIENNE,8
687,1918,LUCILE,9
688,1918,LUCILLE,19
689,1918,LUCINDA,7
690,1918,LUCY,45
691,1918,LUELLA,26
692,1918,LULU,13
693,1918,LYDIA,19
694,1918,LYLA,6
695,1918,M,3245
696,1918,MABEL,186
697,1918,MABLE,37
698,1918,MADALINE,8
699,1918,MADELEINE,8
700,1918,MADELENE,6
701,1918,MADELINE,71
702,1918,MADGE,8
703,1918,MAE,18
704,1918,MAGGIE,14
705,1918,MAJORIE,7
706,1918,MAMIE,20
707,1918,MARCELLA,9
708,1918,MARGARET,1381
709,1918,MARGARETTE,9
710,1918,MARGARITE,12
711,1918,MARGERY,21
712,1918,MARGORIE,12
713,1918,MARGORY,11
714,1918,MARGRET,28
715,1918,MARGUERITE,156
716,1918,MARIA,68
717,1918,MARIAN,74
718,1918,MARIE,276
719,1918,MARION,396
720,1918,MARJORIE,290
721,1918,MARJORY,103
722,1918,MARTHA,76
723,1918,MARY,636
724,1918,MATILDA,13
725,1918,MAUD,19
726,1918,MAUDE,9
727,1918,MAXINE,6
728,1918,MAY,88
729,1918,MELBA,17
730,1918,MELVA,7
731,1918,MERLE,10
732,1918,MERNA,6
733,1918,MILDRED,327
734,1918,MINA,13
735,1918,MINNIE,54
736,1918,MIRIAM,25
737,1918,MOLLIE,8
738,1918,MOLLY,14
739,1918,MONA,29
740,1918,MONICA,12
741,1918,MURIAL,6
742,1918,MURIEL,252
743,1918,MYRA,14
744,1918,MYRTLE,150
745,1918,NANCY,27
746,1918,NAOMI,6
747,1918,NELDA,7
748,1918,NELLIE,108
749,1918,NETTIE,8
750,1918,NINA,19
751,1918,NORA,75
752,1918,NORAH,23
753,1918,NOREEN,11
754,1918,NORMA,150
755,1918,OLA,10
756,1918,OLGA,58
757,1918,OLIVE,225
758,1918,ORPHA,7
759,1918,PANSY,9
760,1918,PATRICIA,65
761,1918,PAULINE,53
762,1918,PEARL,151
763,1918,PHILLIS,9
764,1918,PHOEBE,13
765,1918,PHYLIS,31
766,1918,PHYLISS,9
767,1918,PHYLLIS,176
768,1918,QUEENIE,7
769,1918,RACHAEL,9
770,1918,RACHEL,21
771,1918,REA,8
772,1918,REBECCA,16
773,1918,RENA,16
774,1918,RETA,99
775,1918,RETTA,8
776,1918,RHEA,8
777,1918,RHODA,17
778,1918,RITA,89
779,1918,ROBERTA,18
