year,gender,name,freq
1918,Female,JEANIE,7
1918,Female,JEANNE,36
1918,Female,JEANNETTE,19
1918,Female,JENNIE,80
1918,Female,JENNY,9
1918,Female,JESSIE,162
1918,Female,JEWEL,6
1918,Female,JOAN,48
1918,Female,JOSEPHINA,8
1918,Female,JOSEPHINE,88
1918,Female,JOY,8
1918,Female,JOYCE,39
1918,Female,JULIA,61
1918,Female,JULIETTE,9
1918,Female,JUNE,81
1918,Female,KATHALEEN,18
1918,Female,KATHARINE,18
1918,Female,KATHELEEN,8
1918,Female,KATHERINE,44
1918,Female,KATHLEEN,341
1918,Female,KATHRYN,17
1918,Female,KATIE,19
1918,Female,KEITHA,8
1918,Female,LAURA,159
1918,Female,LAURETTA,13
1918,Female,LAURETTE,10
1918,Female,LAURINE,7
1918,Female,LAVINA,8
1918,Female,LEAH,15
1918,Female,LEILA,9
1918,Female,LELA,10
1918,Female,LENA,74
1918,Female,LENORA,11
1918,Female,LENORE,11
1918,Female,LEOLA,17
1918,Female,LEONA,46
1918,Female,LEONE,9
1918,Female,LETA,16
1918,Female,LEVINA,6
1918,Female,LILA,44
1918,Female,LILIA,7
1918,Female,LILIAN,60
1918,Female,LILLIAN,281
1918,Female,LILLIE,25
1918,Female,LILLY,15
1918,Female,LILY,44
1918,Female,LINDA,9
1918,Female,LIZZIE,11
1918,Female,LOIS,91
1918,Female,LOLA,12
1918,Female,LORAINE,16
1918,Female,LORETTA,37
1918,Female,LORETTE,7
1918,Female,LORNA,49
1918,Female,LORRAINE,41
1918,Female,LOTTIE,34
1918,Female,LOUISA,28
1918,Female,LOUISE,47
1918,Female,LUCIA,8
1918,Female,LUCIENNE,8
1918,Female,LUCILE,9
1918,Female,LUCILLE,19
1918,Female,LUCINDA,7
1918,Female,LUCY,45
1918,Female,LUELLA,26
1918,Female,LULU,13
1918,Female,LYDIA,19
1918,Female,LYLA,6
1918,Female,M,3245
1918,Female,MABEL,186
1918,Female,MABLE,37
1918,Female,MADALINE,8
1918,Female,MADELEINE,8
1918,Female,MADELENE,6
1918,Female,MADELINE,71
1918,Female,MADGE,8
1918,Female,MAE,18
1918,Female,MAGGIE,14
1918,Female,MAJORIE,7
1918,Female,MAMIE,20
1918,Female,MARCELLA,9
1918,Female,MARGARET,1381
1918,Female,MARGARETTE,9
1918,Female,MARGARITE,12
1918,Female,MARGERY,21
1918,Female,MARGORIE,12
1918,Female,MARGORY,11
1918,Female,MARGRET,28
1918,Female,MARGUERITE,156
1918,Female,MARIA,68
1918,Female,MARIAN,74
1918,Female,MARIE,276
1918,Female,MARION,396
1918,Female,MARJORIE,290
1918,Female,MARJORY,103
1918,Female,MARTHA,76
1918,Female,MARY,636
1918,Female,MATILDA,13
1918,Female,MAUD,19
1918,Female,MAUDE,9
1918,Female,MAXINE,6
1918,Female,MAY,88
1918,Female,MELBA,17
1918,Female,MELVA,7
1918,Female,MERLE,10
1918,Female,MERNA,6
1918,Female,MILDRED,327
1918,Female,MINA,13
1918,Female,MINNIE,54
1918,Female,MIRIAM,25
1918,Female,MOLLIE,8
1918,Female,MOLLY,14
1918,Female,MONA,29
1918,Female,MONICA,12
1918,Female,MURIAL,6
1918,Female,MURIEL,252
1918,Female,MYRA,14
1918,Female,MYRTLE,150
1918,Female,NANCY,27
1918,Female,NAOMI,6
1918,Female,NELDA,7
1918,Female,NELLIE,108
1918,Female,NETTIE,8
1918,Female,NINA,19
1918,Female,NORA,75
1918,Female,NORAH,23
1918,Female,NOREEN,11
1918,Female,NORMA,150
1918,Female,OLA,10
1918,Female,OLGA,58
1918,Female,OLIVE,225
1918,Female,ORPHA,7
1918,Female,PANSY,9
1918,Female,PATRICIA,65
1918,Female,PAULINE,53
1918,Female,PEARL,151
1918,Female,PHILLIS,9
1918,Female,PHOEBE,13
1918,Female,PHYLIS,31
1918,Female,PHYLISS,9
1918,Female,PHYLLIS,176
1918,Female,QUEENIE,7
1918,Female,RACHAEL,9
1918,Female,RACHEL,21
1918,Female,REA,8
1918,Female,REBECCA,16
1918,Female,RENA,16
1918,Female,RETA,99
1918,Female,RETTA,8
1918,Female,RHEA,8
1918,Female,RHODA,17
1918,Female,RITA,89
1918,Female,ROBERTA,18
1918,Female,ROSA,22
1918,Female,ROSALIE,8
1918,Female,ROSE,143
1918,Female,ROSELLA,10
1918,Female,ROSETTA,12
1918,Female,ROSIE,39
1918,Female,ROSINA,11
1918,Female,RUBY,193
1918,Female,RUTH,436
1918,Female,SADIE,41
1918,Female,SARA,8
1918,Female,SARAH,158
1918,Female,SELMA,6
1918,Female,SHEILA,12
1918,Female,SHIRLEY,72
1918,Female,SIMONE,9
1918,Female,SOPHIA,22
1918,Female,SOPHIE,16
1918,Female,STELLA,99
1918,Female,STEPHANIA,8
1918,Female,STEPHANIE,10
1918,Female,SUSAN,19
1918,Female,SYBIL,12
1918,Female,SYLVIA,61
1918,Female,TERESA,26
1918,Female,THEDA,8
1918,Female,THELMA,152
1918,Female,THERESA,24
1918,Female,THERESE,15
1918,Female,THORA,9
1918,Female,TOINI,6
1918,Female,URSULA,6
1918,Female,VALERIE,7
1918,Female,VELMA,87
1918,Female,VELVA,7
1918,Female,VERA,246
1918,Female,VERDA,11
1918,Female,VERNA,141
1918,Female,VERONA,9
1918,Female,VERONICA,23
1918,Female,VICTORIA,57
1918,Female,VICTORY,6
1918,Female,VIDA,9
1918,Female,VIMY,7
1918,Female,VIOLA,113
1918,Female,VIOLET,222
1918,Female,VIRGINIA,51
1918,Female,VIVIAN,57
1918,Female,WANDA,8
1918,Female,WILDA,8
1918,Female,WILHELMINA,10
1918,Female,WILLA,8
1918,Female,WILLIAM,7
1918,Female,WILMA,31
1918,Female,WINIFRED,34
1918,Female,WINNIE,7
1918,Female,WINNIFRED,109
1918,Female,YVONNE,25
1918,Female,ZELDA,9
1918,Female,ZELMA,7
1919,Female,ADA,105
1919,Female,ADELAIDE,9
1919,Female,ADELE,7
1919,Female,ADELINE,19
1919,Female,AGATHA,11
1919,Female,AGNES,205
1919,Female,AILEEN,39
1919,Female,AILI,6
1919,Female,ALBERTA,26
1919,Female,ALDA,7
1919,Female,ALEDA,7
1919,Female,ALICE,340
1919,Female,ALINE,6
1919,Female,ALMA,95
1919,Female,ALVA,6
1919,Female,AMANDA,9
1919,Female,AMELIA,23
1919,Female,AMY,38
1919,Female,ANGELA,12
1919,Female,ANGELINA,15
1919,Female,ANIE,6
1919,Female,ANITA,27
1919,Female,ANN,30
1919,Female,ANNA,239
1919,Female,ANNE,44
1919,Female,ANNETTA,6
1919,Female,ANNETTE,15
1919,Female,ANNIE,386
1919,Female,ANTOINETTE,10
1919,Female,AUDREY,247
1919,Female,AUDRY,16
1919,Female,AURORE,9
1919,Female,BARBARA,113
1919,Female,BEATRICE,195
1919,Female,BELLA,13
1919,Female,BERNADETTE,21
1919,Female,BERNICE,90
1919,Female,BERTHA,119
1919,Female,BERYL,19
1919,Female,BESSIE,103
1919,Female,BETTY,117
1919,Female,BEULAH,29
1919,Female,BEVERLEY,14
1919,Female,BLANCH,10
1919,Female,BLANCHE,55
1919,Female,BRIDGET,9
1919,Female,CARMEL,12
1919,Female,CARMELA,9
1919,Female,CARMEN,10
1919,Female,CAROLINE,30
1919,Female,CARRIE,15
1919,Female,CATHARINE,47
1919,Female,CATHERINA,7
1919,Female,CATHERINE,165
1919,Female,CECELIA,16
1919,Female,CECILE,44
1919,Female,CECILIA,20
1919,Female,CELIA,11
1919,Female,CHARLOTTE,57
1919,Female,CHRISTENA,9
1919,Female,CHRISTINA,36
1919,Female,CHRISTINE,7
1919,Female,CLAIRE,17
1919,Female,CLARA,132
1919,Female,CLARE,7
1919,Female,CLARICE,7
1919,Female,CLEO,6
1919,Female,CONSTANCE,46
1919,Female,CORA,43
1919,Female,CORINNE,8
1919,Female,DAISY,46
1919,Female,DELIA,9
1919,Female,DELLA,19
1919,Female,DIANA,7
1919,Female,DINA,6
1919,Female,DONALDA,12
1919,Female,DONNA,18
1919,Female,DORA,70
1919,Female,DORATHY,14
1919,Female,DOREEN,38
1919,Female,DORIS,514
1919,Female,DOROTHEA,18
1919,Female,DOROTHY,1053
1919,Female,DORRIS,14
1919,Female,DORTHA,6
1919,Female,DORTHY,50
1919,Female,EDITH,371
1919,Female,EDNA,311
1919,Female,EDYTH,8
1919,Female,EDYTHE,26
1919,Female,EFFIE,21
1919,Female,EILEEN,137
1919,Female,ELAINE,15
1919,Female,ELEANOR,147
1919,Female,ELENA,10
1919,Female,ELENOR,11
1919,Female,ELEZABETH,9
1919,Female,ELINOR,15
1919,Female,ELIZA,9
1919,Female,ELIZABETH,340
1919,Female,ELLA,79
1919,Female,ELLEN,125
1919,Female,ELMA,26
1919,Female,ELSA,8
1919,Female,ELSIE,203
1919,Female,ELVA,60
1919,Female,EMILIA,7
1919,Female,EMILY,63
1919,Female,EMMA,80
1919,Female,ENID,30
1919,Female,ERMA,31
1919,Female,ESTELLA,9
1919,Female,ESTELLE,7
1919,Female,ESTER,14
1919,Female,ESTHER,68
1919,Female,ETHEL,248
1919,Female,ETTA,16
1919,Female,EUGENIA,7
1919,Female,EUGENIE,6
1919,Female,EUNICE,31
1919,Female,EUPHEMIA,6
1919,Female,EVA,193
1919,Female,EVELIN,6
1919,Female,EVELINE,15
1919,Female,EVELYN,326
1919,Female,EVELYNE,14
1919,Female,EVLYN,7
1919,Female,FAITH,6
1919,Female,FANNIE,11
1919,Female,FANNY,20
1919,Female,FAY,7
1919,Female,FERN,24
1919,Female,FLORA,27
1919,Female,FLORANCE,11
1919,Female,FLORENCE,476
1919,Female,FLORIDA,14
1919,Female,FLOSSIE,14
1919,Female,FRANCES,279
1919,Female,FRANCIS,85
1919,Female,FREDA,47
1919,Female,FREIDA,6
1919,Female,FRIEDA,10
1919,Female,GABRIELLE,7
1919,Female,GENEVIEVE,20
1919,Female,GEORGETTE,7
1919,Female,GEORGIA,6
1919,Female,GEORGINA,59
1919,Female,GERALDINE,51
1919,Female,GERMAINE,8
1919,Female,GERTIE,8
1919,Female,GERTRUDE,222
1919,Female,GLADIS,6
1919,Female,GLADYS,345
1919,Female,GLENNA,6
1919,Female,GOLDIE,16
1919,Female,GRACE,278
1919,Female,GRETA,15
1919,Female,GRETTA,6
1919,Female,GWENDOLINE,14
1919,Female,GWENDOLYN,31
1919,Female,GWENETH,6
1919,Female,HANNAH,20
1919,Female,HARRIET,28
1919,Female,HARRIETT,11
1919,Female,HATTIE,10
1919,Female,HAZEL,263
